date,date_id,wind,desc,temp,baro,hum,year,month,day,day_date,start_hour,end_hour
"Wednesday, January 27, 2021, 6:00 pm — 12:00 am",1611770400000.0,3.728,Low clouds.,48.2,29.8,100,2021,1,Wednesday,27,18:00,00:00
"Thursday, January 28, 2021, 12:00 am — 6:00 am",1611792000000.0,3.728,Passing clouds.,50.0,29.59,100,2021,1,Thursday,28,00:00,06:00
"Thursday, January 28, 2021, 6:00 am — 12:00 pm",1611813600000.0,14.293,Partly sunny.,55.4,29.55,86,2021,1,Thursday,28,06:00,12:00
"Thursday, January 28, 2021, 12:00 pm — 6:00 pm",1611835200000.0,13.671,Partly sunny.,55.4,29.58,82,2021,1,Thursday,28,12:00,18:00
"Thursday, January 28, 2021, 6:00 pm — 12:00 am",1611856800000.0,7.457000000000001,Passing clouds.,51.8,29.47,96,2021,1,Thursday,28,18:00,00:00
"Friday, January 29, 2021, 12:00 am — 6:00 am",1611878400000.0,13.05,Passing clouds.,50.0,29.41,88,2021,1,Friday,29,00:00,06:00
"Friday, January 29, 2021, 6:00 am — 12:00 pm",1611900000000.0,8.7,Broken clouds.,48.2,29.4,90,2021,1,Friday,29,06:00,12:00
"Friday, January 29, 2021, 12:00 pm — 6:00 pm",1611921600000.0,13.05,Broken clouds.,51.8,29.52,80,2021,1,Friday,29,12:00,18:00
"Friday, January 29, 2021, 6:00 pm — 12:00 am",1611943200000.0,7.457000000000001,Passing clouds.,48.2,29.57,90,2021,1,Friday,29,18:00,00:00
"Saturday, January 30, 2021, 12:00 am — 6:00 am",1611964800000.0,5.593,Passing clouds.,44.6,29.47,94,2021,1,Saturday,30,00:00,06:00
"Saturday, January 30, 2021, 6:00 am — 12:00 pm",1611986400000.0,16.157,Light rain. Low clouds.,42.8,29.39,93,2021,1,Saturday,30,06:00,12:00
"Saturday, January 30, 2021, 12:00 pm — 6:00 pm",1612008000000.0,18.021,Drizzle. Low clouds.,39.2,29.42,92,2021,1,Saturday,30,12:00,18:00
"Saturday, January 30, 2021, 6:00 pm — 12:00 am",1612029600000.0,17.4,Passing clouds.,39.2,29.53,83,2021,1,Saturday,30,18:00,00:00
"Sunday, January 31, 2021, 12:00 am — 6:00 am",1612051200000.0,9.943,Passing clouds.,35.6,29.61,77,2021,1,Sunday,31,00:00,06:00
"Sunday, January 31, 2021, 6:00 am — 12:00 pm",1612072800000.0,9.321,Sunny.,39.2,29.55,77,2021,1,Sunday,31,06:00,12:00
"Sunday, January 31, 2021, 12:00 pm — 6:00 pm",1612094400000.0,11.185,Overcast.,39.2,29.38,82,2021,1,Sunday,31,12:00,18:00
"Sunday, January 31, 2021, 6:00 pm — 12:00 am",1612116000000.0,6.836,Partly cloudy.,37.4,29.24,98,2021,1,Sunday,31,18:00,00:00
"Monday, February 1, 2021, 12:00 am — 6:00 am",1612137600000.0,8.078,Low clouds.,37.4,29.27,100,2021,2,Monday,1,00:00,06:00
"Monday, February 1, 2021, 6:00 am — 12:00 pm",1612159200000.0,6.836,Broken clouds.,39.2,29.42,92,2021,2,Monday,1,06:00,12:00
"Monday, February 1, 2021, 12:00 pm — 6:00 pm",1612180800000.0,4.971,Overcast.,39.2,29.52,86,2021,2,Monday,1,12:00,18:00
"Monday, February 1, 2021, 6:00 pm — 12:00 am",1612202400000.0,5.593,Low clouds.,39.2,29.55,89,2021,2,Monday,1,18:00,00:00
"Tuesday, February 2, 2021, 12:00 am — 6:00 am",1612224000000.0,6.836,Low clouds.,42.8,29.38,100,2021,2,Tuesday,2,00:00,06:00
"Tuesday, February 2, 2021, 6:00 am — 12:00 pm",1612245600000.0,6.836,Partly sunny.,53.6,29.35,96,2021,2,Tuesday,2,06:00,12:00
"Tuesday, February 2, 2021, 12:00 pm — 6:00 pm",1612267200000.0,13.05,Broken clouds.,55.4,29.34,82,2021,2,Tuesday,2,12:00,18:00
"Tuesday, February 2, 2021, 6:00 pm — 12:00 am",1612288800000.0,14.914000000000001,Partly cloudy.,51.8,29.33,87,2021,2,Tuesday,2,18:00,00:00
"Wednesday, February 3, 2021, 12:00 am — 6:00 am",1612310400000.0,8.7,Mostly cloudy.,50.0,29.33,81,2021,2,Wednesday,3,00:00,06:00
"Wednesday, February 3, 2021, 6:00 am — 12:00 pm",1612332000000.0,3.728,Partly sunny.,48.2,29.31,91,2021,2,Wednesday,3,06:00,12:00
"Wednesday, February 3, 2021, 12:00 pm — 6:00 pm",1612353600000.0,12.427999999999999,Partly sunny.,51.8,29.42,74,2021,2,Wednesday,3,12:00,18:00
"Wednesday, February 3, 2021, 6:00 pm — 12:00 am",1612375200000.0,6.836,Passing clouds.,46.4,29.62,83,2021,2,Wednesday,3,18:00,00:00
"Thursday, February 4, 2021, 12:00 am — 6:00 am",1612396800000.0,1.864,Clear.,39.2,29.75,98,2021,2,Thursday,4,00:00,06:00
"Thursday, February 4, 2021, 6:00 am — 12:00 pm",1612418400000.0,4.971,Fog.,48.2,29.81,94,2021,2,Thursday,4,06:00,12:00
"Thursday, February 4, 2021, 12:00 pm — 6:00 pm",1612440000000.0,7.457000000000001,Sprinkles. Broken clouds.,48.2,29.75,95,2021,2,Thursday,4,12:00,18:00
"Thursday, February 4, 2021, 6:00 pm — 12:00 am",1612461600000.0,7.457000000000001,Rain showers. Partly cloudy.,48.2,29.74,97,2021,2,Thursday,4,18:00,00:00
"Friday, February 5, 2021, 12:00 am — 6:00 am",1612483200000.0,4.971,Passing clouds.,46.4,29.72,99,2021,2,Friday,5,00:00,06:00
"Friday, February 5, 2021, 6:00 am — 12:00 pm",1612504800000.0,4.35,Broken clouds.,48.2,29.79,90,2021,2,Friday,5,06:00,12:00
"Friday, February 5, 2021, 12:00 pm — 6:00 pm",1612526400000.0,6.2139999999999995,Sprinkles. Broken clouds.,51.8,29.77,84,2021,2,Friday,5,12:00,18:00
"Friday, February 5, 2021, 6:00 pm — 12:00 am",1612548000000.0,5.593,Passing clouds.,44.6,29.77,94,2021,2,Friday,5,18:00,00:00
"Saturday, February 6, 2021, 12:00 am — 6:00 am",1612569600000.0,2.4859999999999998,Passing clouds.,42.8,29.76,96,2021,2,Saturday,6,00:00,06:00
"Saturday, February 6, 2021, 6:00 am — 12:00 pm",1612591200000.0,4.35,Broken clouds.,44.6,29.75,95,2021,2,Saturday,6,06:00,12:00
"Saturday, February 6, 2021, 12:00 pm — 6:00 pm",1612612800000.0,8.078,Broken clouds.,46.4,29.69,83,2021,2,Saturday,6,12:00,18:00
"Saturday, February 6, 2021, 6:00 pm — 12:00 am",1612634400000.0,11.185,Partly cloudy.,44.6,29.65,95,2021,2,Saturday,6,18:00,00:00
"Sunday, February 7, 2021, 12:00 am — 6:00 am",1612656000000.0,16.778,Overcast.,39.2,29.65,89,2021,2,Sunday,7,00:00,06:00
"Sunday, February 7, 2021, 6:00 am — 12:00 pm",1612677600000.0,16.778,Light snow. Partly sunny.,37.4,29.68,83,2021,2,Sunday,7,06:00,12:00
"Sunday, February 7, 2021, 12:00 pm — 6:00 pm",1612699200000.0,19.264,Partly sunny.,35.6,29.64,75,2021,2,Sunday,7,12:00,18:00
"Sunday, February 7, 2021, 6:00 pm — 12:00 am",1612720800000.0,17.4,Passing clouds.,33.8,29.62,78,2021,2,Sunday,7,18:00,00:00
"Monday, February 8, 2021, 12:00 am — 6:00 am",1612742400000.0,16.778,Passing clouds.,30.2,29.6,81,2021,2,Monday,8,00:00,06:00
"Monday, February 8, 2021, 6:00 am — 12:00 pm",1612764000000.0,14.914000000000001,Light snow. Partly sunny.,30.2,29.62,79,2021,2,Monday,8,06:00,12:00
"Monday, February 8, 2021, 12:00 pm — 6:00 pm",1612785600000.0,13.05,Light snow. Passing clouds.,30.2,29.63,82,2021,2,Monday,8,12:00,18:00
